WP_023207635.1	WP_046701302.1	3
WP_046701302.1	WP_046701304.1	3
WP_046701302.1	WP_114563812.1	2
WP_046701302.1	WP_046701306.1	2
WP_000219384.1	WP_046701302.1	1
WP_046696436.1	WP_046701302.1	1
WP_023207635.1	WP_046701304.1	4
WP_023207635.1	WP_114563812.1	3
WP_023207635.1	WP_046701306.1	3
WP_000219384.1	WP_023207635.1	2
WP_023207635.1	WP_046696436.1	2
WP_046701304.1	WP_114563812.1	3
WP_046701304.1	WP_046701306.1	3
WP_000219384.1	WP_046701304.1	2
WP_046696436.1	WP_046701304.1	2
WP_046701306.1	WP_114563812.1	3
WP_000219384.1	WP_114563812.1	2
WP_046696436.1	WP_114563812.1	2
WP_000219384.1	WP_046701306.1	2
WP_046696436.1	WP_046701306.1	5
WP_000219384.1	WP_046696436.1	2
WP_003119150.1	WP_003158958.1	2
WP_003119150.1	WP_106742570.1	2
WP_003119150.1	WP_031691691.1	2
WP_003119150.1	WP_100882745.1	2
WP_003119150.1	WP_112741803.1	2
WP_003119150.1	WP_024099820.1	2
WP_003119150.1	WP_121265999.1	2
WP_003119150.1	WP_019395862.1	2
WP_003158958.1	WP_106742570.1	4
WP_003158958.1	WP_031691691.1	4
WP_003158958.1	WP_100882745.1	4
WP_003158958.1	WP_112741803.1	4
WP_003158958.1	WP_024099820.1	4
WP_003158958.1	WP_121265999.1	4
WP_003158958.1	WP_019395862.1	4
WP_031691691.1	WP_106742570.1	9
WP_100882745.1	WP_106742570.1	4
WP_106742570.1	WP_112741803.1	14
WP_024099820.1	WP_106742570.1	11
WP_106742570.1	WP_121265999.1	4
WP_019395862.1	WP_106742570.1	4
WP_031691691.1	WP_100882745.1	4
WP_031691691.1	WP_112741803.1	9
WP_024099820.1	WP_031691691.1	9
WP_031691691.1	WP_121265999.1	4
WP_019395862.1	WP_031691691.1	4
WP_100882745.1	WP_112741803.1	4
WP_024099820.1	WP_100882745.1	4
WP_100882745.1	WP_121265999.1	4
WP_019395862.1	WP_100882745.1	4
WP_024099820.1	WP_112741803.1	9
WP_112741803.1	WP_121265999.1	10
WP_019395862.1	WP_112741803.1	4
WP_024099820.1	WP_121265999.1	4
WP_019395862.1	WP_024099820.1	4
WP_019395862.1	WP_121265999.1	4
WP_012802671.1	WP_039198157.1	1
WP_012802671.1	WP_049754274.1	1
WP_012802671.1	WP_012802674.1	1
WP_039198157.1	WP_049754274.1	1
WP_012802674.1	WP_039198157.1	1
WP_012802674.1	WP_049754274.1	1
WP_039198151.1	WP_039199844.1	1
WP_039198153.1	WP_039199844.1	1
WP_039198155.1	WP_039199844.1	1
WP_039199844.1	WP_052189157.1	1
WP_039198157.1	WP_039199844.1	1
WP_039198159.1	WP_039199844.1	1
WP_039198161.1	WP_039199844.1	1
WP_039198164.1	WP_039199844.1	1
WP_039198165.1	WP_039199844.1	1
WP_039198151.1	WP_039198153.1	1
WP_039198151.1	WP_039198155.1	1
WP_039198151.1	WP_052189157.1	1
WP_039198151.1	WP_039198157.1	1
WP_039198151.1	WP_039198159.1	1
WP_039198151.1	WP_039198161.1	1
WP_039198151.1	WP_039198164.1	1
WP_039198151.1	WP_039198165.1	1
WP_039198153.1	WP_039198155.1	1
WP_039198153.1	WP_052189157.1	1
WP_039198153.1	WP_039198157.1	1
WP_039198153.1	WP_039198159.1	1
WP_039198153.1	WP_039198161.1	1
WP_039198153.1	WP_039198164.1	1
WP_039198153.1	WP_039198165.1	1
WP_039198155.1	WP_052189157.1	1
WP_039198155.1	WP_039198157.1	1
WP_039198155.1	WP_039198159.1	1
WP_039198155.1	WP_039198161.1	1
WP_039198155.1	WP_039198164.1	1
WP_039198155.1	WP_039198165.1	1
WP_039198157.1	WP_052189157.1	1
WP_039198159.1	WP_052189157.1	1
WP_039198161.1	WP_052189157.1	1
WP_039198164.1	WP_052189157.1	1
WP_039198165.1	WP_052189157.1	1
